N°,ID,Domaine,Catégorie,Notion,Libellé source / description,Niveau,ValidationMode suggéré,Type d'exercice,Priorité de production,Nb exercices Magpie prévus,À réaliser par,Statut,Lien,Notes
1,PRG-074,0 – Socle Rhino (prérequis),Interface et navigation Rhino,Interface Rhino,"Présentation de l'interface utilisateur (barres d’outils, fenêtres, options).",Débutant,Conceptuel (QCM),QCM / question ciblée,P0,,,,,
2,PRG-075,0 – Socle Rhino (prérequis),Interface et navigation Rhino,Manipulation des vues,Manipulation des vues,Débutant,Conceptuel (QCM),QCM / question ciblée,P0,,,,,
3,PRG-076,0 – Socle Rhino (prérequis),Interface et navigation Rhino,Navigation,"Outils de navigation : zoom, panoramique, rotation.",Débutant,Conceptuel (QCM),QCM / question ciblée,P0,,,,,
4,PRG-079,0 – Socle Rhino (prérequis),Interface et navigation Rhino,Sélection d'objets,Sélection et manipulation d’objets,Débutant,Conceptuel (QCM),QCM / question ciblée,P0,,,,,
5,PRG-080,0 – Socle Rhino (prérequis),Interface et navigation Rhino,Groupes et blocs,Groupes et blocs,Débutant,Conceptuel (QCM),QCM / question ciblée,P0,,,,,
6,PRG-081,0 – Socle Rhino (prérequis),Interface et navigation Rhino,Visibilité des objets,"Verrouillage et masquage d’objets, Isoler, Montrer)",Débutant,Conceptuel (QCM),QCM / question ciblée,P0,,,,,
7,PRG-077,0 – Socle Rhino (prérequis),Modélisation Rhino,Objets de base,"Création et manipulation d'objets de base (cubes, sphères, cylindres, etc.).",Débutant,GeometryTolerance,Exercice Grasshopper,P0,,,,,
8,PRG-078,0 – Socle Rhino (prérequis),Modélisation Rhino,Transformations de base,"Transformation de base : déplacer, tourner, échelle, orienter",Débutant,GeometryTolerance,Exercice Grasshopper,P0,,,,,
9,PRG-082,0 – Socle Rhino (prérequis),Modélisation Rhino,Courbes Rhino,"Création de courbes de différentes formes (lignes, cercles, ellipses, etc.).",Débutant,GeometryTolerance,Exercice Grasshopper,P0,,,,,
10,PRG-083,0 – Socle Rhino (prérequis),Modélisation Rhino,Surfaces depuis courbes,Utilisation de l’outil de courbes pour générer des surfaces.,Débutant,GeometryTolerance,Exercice Grasshopper,P0,,,,,
11,PRG-084,0 – Socle Rhino (prérequis),Modélisation Rhino,Extrusion,Extrusion et création de surfaces à partir de courbes.,Débutant,GeometryTolerance,Exercice Grasshopper,P0,,,,,
12,PRG-085,0 – Socle Rhino (prérequis),Modélisation Rhino,Opérations booléennes Rhino,"Opérations booléennes (Union, intersection, et soustraction)",Débutant,GeometryTolerance,Exercice Grasshopper,P0,,,,,
13,PRG-094,0 – Socle Rhino (prérequis),Modélisation Rhino,Réseaux et répétitions,Réseaux et répétition de formes,Débutant,GeometryTolerance,Exercice Grasshopper,P0,,,,,
14,PRG-086,0 – Socle Rhino (prérequis),Organisation du document Rhino,Calques,Gestion des calques.,Débutant,Conceptuel (QCM),QCM / question ciblée,P0,,,,,
15,PRG-087,0 – Socle Rhino (prérequis),Organisation du document Rhino,Propriétés d'objet,"Couleurs, matériaux, et autres propriétés des objets.",Débutant,Conceptuel (QCM),QCM / question ciblée,P0,,,,,
